_id,Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
5739,2006,Mendocino,2,Perforated Appendix,25,87,28.7,30.5,,,,,,
5740,2007,Mendocino,2,Perforated Appendix,22,82,26.8,27.7,,,,,,
5741,2008,Mendocino,2,Perforated Appendix,34,91,37.4,38.1,,,,,,
5742,2009,Mendocino,2,Perforated Appendix,31,80,38.8,37.5,,,,,,
5743,2010,Mendocino,2,Perforated Appendix,19,82,23.2,24.2,,,,,,
5744,2011,Mendocino,2,Perforated Appendix,21,75,28,29.4,,,,,,
5745,2012,Mendocino,2,Perforated Appendix,34,74,45.9,45.8,,,,,,
5746,2013,Mendocino,2,Perforated Appendix,35,75,46.7,49.2,,,,,,
5747,2014,Mendocino,2,Perforated Appendix,31,74,41.9,43.5,,,,,,
5748,2015,Mendocino,2,Perforated Appendix,25,57,43.9,39.1,,,,,,
5749,2005,Mendocino,3,Diabetes Long-term Complications,51,67693,75.3,71.8,,,,,,
5750,2006,Mendocino,3,Diabetes Long-term Complications,82,67469,121.5,115,,,,,,
5751,2007,Mendocino,3,Diabetes Long-term Complications,70,67582,103.6,97.2,,,,,,
5752,2008,Mendocino,3,Diabetes Long-term Complications,65,68025,95.6,89.1,,,,,,
5753,2009,Mendocino,3,Diabetes Long-term Complications,68,68421,99.4,92.1,,,,,,
5754,2010,Mendocino,3,Diabetes Long-term Complications,76,68517,110.9,102.3,,,,,,
5755,2011,Mendocino,3,Diabetes Long-term Complications,66,68336,96.6,88.1,,,,,,
5756,2012,Mendocino,3,Diabetes Long-term Complications,54,68344,79,71.2,,,,,,
5757,2013,Mendocino,3,Diabetes Long-term Complications,61,68379,89.2,79.7,,,,,,
5758,2014,Mendocino,3,Diabetes Long-term Complications,85,69334,122.6,109.6,,,,,,
5759,2015,Mendocino,3,Diabetes Long-term Complications,41,51516,79.6,69.9,,,,,,
5760,2016,Mendocino,3,Diabetes Long-term Complications,,,,,46,"68,410",67.2,54.1,,
5761,2017,Mendocino,3,Diabetes Long-term Complications,,,,,59,"68,784",85.8,68.7,,
5762,2018,Mendocino,3,Diabetes Long-term Complications,,,,,44,"68,876",63.9,50.9,,
5763,2019,Mendocino,3,Diabetes Long-term Complications,,,,,58,"68,548",84.6,66.8,,
5764,2020,Mendocino,3,Diabetes Long-term Complications,,,,,59,"71,809",82.2,64.5,,
5765,2021,Mendocino,3,Diabetes Long-term Complications,,,,,49,"72,054",68,53.3,,
5766,2005,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),124,44744,277.1,281,,,,,,
5767,2006,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),109,44638,244.2,245.4,,,,,,
5768,2007,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),88,44793,196.5,194.9,,,,,,
5769,2008,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),95,45098,210.7,206.6,,,,,,
5770,2009,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),136,45349,299.9,291.4,,,,,,
5771,2010,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),120,45610,263.1,255.1,,,,,,
5772,2011,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),136,45753,297.2,284.5,,,,,,
5773,2012,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),106,46006,230.4,216.7,,,,,,
5774,2013,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),91,46085,197.5,182.7,,,,,,
5775,2014,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),81,46703,173.4,161.8,,,,,,
5776,2015,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),54,34926,154.6,139,,,,,,
5777,2016,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),,,,,95,"46,695",203.4,192.4,,
5778,2017,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),,,,,106,"47,018",225.4,210.8,,
5779,2018,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),,,,,145,"47,247",306.9,283.8,,
5780,2019,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),,,,,93,"47,268",196.8,179.6,,
5781,2020,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),,,,,67,"49,744",134.7,123.4,,
5782,2021,Mendocino,5,COPD or Asthma in Older Adults (Age 40+),,,,,24,"49,975",48,43.7,,
5783,2005,Mendocino,7,Hypertension,4,67693,5.9,5.6,,,,,,
5784,2006,Mendocino,7,Hypertension,4,67469,5.9,5.6,,,,,,
5785,2007,Mendocino,7,Hypertension,20,67582,29.6,27.8,,,,,,
5786,2008,Mendocino,7,Hypertension,9,68025,13.2,12.4,,,,,,
5787,2009,Mendocino,7,Hypertension,12,68421,17.5,16.4,,,,,,
5788,2010,Mendocino,7,Hypertension,11,68517,16.1,15,,,,,,
5789,2011,Mendocino,7,Hypertension,14,68336,20.5,18.9,,,,,,
5790,2012,Mendocino,7,Hypertension,9,68344,13.2,12,,,,,,
5791,2013,Mendocino,7,Hypertension,9,68379,13.2,11.9,,,,,,
5792,2014,Mendocino,7,Hypertension,13,69334,18.7,17,,,,,,
5793,2015,Mendocino,7,Hypertension,8,51516,15.5,13.8,,,,,,
5794,2016,Mendocino,7,Hypertension,,,,,9,"68,410",13.2,10.7,,
5795,2017,Mendocino,7,Hypertension,,,,,16,"68,784",23.3,18.8,,
5796,2018,Mendocino,7,Hypertension,,,,,21,"68,876",30.5,24.5,,
5797,2019,Mendocino,7,Hypertension,,,,,21,"68,548",30.6,24.4,,
5798,2020,Mendocino,7,Hypertension,,,,,17,"71,809",23.7,18.9,,
5799,2021,Mendocino,7,Hypertension,,,,,17,"72,054",23.6,18.7,,
5800,2005,Mendocino,8,Heart Failure,185,67693,273.3,260.4,,,,,,
5801,2006,Mendocino,8,Heart Failure,169,67469,250.5,235.8,,,,,,
5802,2007,Mendocino,8,Heart Failure,188,67582,278.2,256.9,,,,,,
5803,2008,Mendocino,8,Heart Failure,184,68025,270.5,245.9,,,,,,
5804,2009,Mendocino,8,Heart Failure,177,68421,258.7,232.9,,,,,,
5805,2010,Mendocino,8,Heart Failure,203,68517,296.3,265.9,,,,,,
5806,2011,Mendocino,8,Heart Failure,182,68336,266.3,233.3,,,,,,
5807,2012,Mendocino,8,Heart Failure,222,68344,324.8,278,,,,,,
5808,2013,Mendocino,8,Heart Failure,227,68379,332,279.2,,,,,,
5809,2014,Mendocino,8,Heart Failure,199,69334,287,243.3,,,,,,
5810,2015,Mendocino,8,Heart Failure,151,51516,293.1,238.3,,,,,,
5811,2016,Mendocino,8,Heart Failure,,,,,202,"68,410",295.3,243.4,,
5812,2017,Mendocino,8,Heart Failure,,,,,215,"68,784",312.6,253.6,,
5813,2018,Mendocino,8,Heart Failure,,,,,235,"68,876",341.2,271.7,,
5814,2019,Mendocino,8,Heart Failure,,,,,246,"68,548",358.9,279.4,,
5815,2020,Mendocino,8,Heart Failure,,,,,205,"71,809",285.5,223.6,,
5816,2021,Mendocino,8,Heart Failure,,,,,202,"72,054",280.3,216.8,,
5817,2005,Mendocino,10,Dehydration,90,67693,133,127.8,,,,,,
5818,2006,Mendocino,10,Dehydration,114,67469,169,160.9,,,,,,
5819,2007,Mendocino,10,Dehydration,112,67582,165.7,155.4,,,,,,
5820,2008,Mendocino,10,Dehydration,98,68025,144.1,133.4,,,,,,
5821,2009,Mendocino,10,Dehydration,85,68421,124.2,114.1,,,,,,
5822,2010,Mendocino,10,Dehydration,64,68517,93.4,85.6,,,,,,
5823,2011,Mendocino,10,Dehydration,107,68336,156.6,140.7,,,,,,
5824,2012,Mendocino,10,Dehydration,101,68344,147.8,130.2,,,,,,
5825,2013,Mendocino,10,Dehydration,88,68379,128.7,111.7,,,,,,
5826,2014,Mendocino,10,Dehydration,63,69334,90.9,79.4,,,,,,
5827,2015,Mendocino,10,Dehydration,35,51516,67.9,57.2,,,,,,
5828,2005,Mendocino,11,Community-Acquired Pneumonia,217,67693,320.6,307.4,,,,,,
5829,2006,Mendocino,11,Community-Acquired Pneumonia,230,67469,340.9,323.7,,,,,,
5830,2007,Mendocino,11,Community-Acquired Pneumonia,195,67582,288.5,269.8,,,,,,
5831,2008,Mendocino,11,Community-Acquired Pneumonia,191,68025,280.8,259.2,,,,,,
5832,2009,Mendocino,11,Community-Acquired Pneumonia,231,68421,337.6,309.2,,,,,,
5833,2010,Mendocino,11,Community-Acquired Pneumonia,241,68517,351.7,321.3,,,,,,
5834,2011,Mendocino,11,Community-Acquired Pneumonia,238,68336,348.3,311.7,,,,,,
5835,2012,Mendocino,11,Community-Acquired Pneumonia,200,68344,292.6,256.6,,,,,,
5836,2013,Mendocino,11,Community-Acquired Pneumonia,186,68379,272,234.7,,,,,,
5837,2014,Mendocino,11,Community-Acquired Pneumonia,203,69334,292.8,254.8,,,,,,
5838,2015,Mendocino,11,Community-Acquired Pneumonia,119,51516,231,193.4,,,,,,
5839,2016,Mendocino,11,Community-Acquired Pneumonia,,,,,151,"68,410",220.7,210.8,,
5840,2017,Mendocino,11,Community-Acquired Pneumonia,,,,,121,"68,784",175.9,165.4,,
5841,2018,Mendocino,11,Community-Acquired Pneumonia,,,,,126,"68,876",182.9,168.9,,
5842,2019,Mendocino,11,Community-Acquired Pneumonia,,,,,124,"68,548",180.9,163.4,,
5843,2020,Mendocino,11,Community-Acquired Pneumonia,,,,,105,"71,809",146.2,132.9,,
5844,2021,Mendocino,11,Community-Acquired Pneumonia,,,,,86,"72,054",119.4,107.2,,
5845,2005,Mendocino,12,Urinary Tract Infection,60,67693,88.6,86.1,,,,,,
5846,2006,Mendocino,12,Urinary Tract Infection,78,67469,115.6,111.4,,,,,,
5847,2007,Mendocino,12,Urinary Tract Infection,83,67582,122.8,116.5,,,,,,
5848,2008,Mendocino,12,Urinary Tract Infection,46,68025,67.6,63.4,,,,,,
5849,2009,Mendocino,12,Urinary Tract Infection,75,68421,109.6,102.2,,,,,,
5850,2010,Mendocino,12,Urinary Tract Infection,58,68517,84.7,79,,,,,,
5851,2011,Mendocino,12,Urinary Tract Infection,77,68336,112.7,103,,,,,,
5852,2012,Mendocino,12,Urinary Tract Infection,63,68344,92.2,82.7,,,,,,
5853,2013,Mendocino,12,Urinary Tract Infection,60,68379,87.7,77.7,,,,,,
5854,2014,Mendocino,12,Urinary Tract Infection,78,69334,112.5,100.5,,,,,,
5855,2015,Mendocino,12,Urinary Tract Infection,46,51516,89.3,76.8,,,,,,
5856,2016,Mendocino,12,Urinary Tract Infection,,,,,56,"68,410",81.9,70.9,,
5857,2017,Mendocino,12,Urinary Tract Infection,,,,,60,"68,784",87.2,74.5,,
5858,2018,Mendocino,12,Urinary Tract Infection,,,,,60,"68,876",87.1,73.1,,
5859,2019,Mendocino,12,Urinary Tract Infection,,,,,78,"68,548",113.8,93.4,,
5860,2020,Mendocino,12,Urinary Tract Infection,,,,,84,"71,809",117,97.4,,
5861,2021,Mendocino,12,Urinary Tract Infection,,,,,71,"72,054",98.5,81,,
5862,2005,Mendocino,13,Angina without Procedure,26,67693,38.4,36.2,,,,,,
5863,2006,Mendocino,13,Angina without Procedure,17,67469,25.2,23.6,,,,,,
5864,2007,Mendocino,13,Angina without Procedure,13,67582,19.2,17.8,,,,,,
5865,2008,Mendocino,13,Angina without Procedure,17,68025,25,23,,,,,,
5866,2009,Mendocino,13,Angina without Procedure,14,68421,20.5,18.7,,,,,,
5867,2010,Mendocino,13,Angina without Procedure,21,68517,30.6,27.9,,,,,,
5868,2011,Mendocino,13,Angina without Procedure,26,68336,38,34.2,,,,,,
5869,2012,Mendocino,13,Angina without Procedure,23,68344,33.7,29.8,,,,,,
5870,2013,Mendocino,13,Angina without Procedure,18,68379,26.3,23.1,,,,,,
5871,2014,Mendocino,13,Angina without Procedure,12,69334,17.3,15.2,,,,,,
5872,2015,Mendocino,13,Angina without Procedure,5,51516,9.7,8.4,,,,,,
5873,2005,Mendocino,14,Uncontrolled Diabetes,8,67693,11.8,11.4,,,,,,
5874,2006,Mendocino,14,Uncontrolled Diabetes,5,67469,7.4,7.1,,,,,,
5875,2007,Mendocino,14,Uncontrolled Diabetes,0,67582,0,0,,,,,,
5876,2008,Mendocino,14,Uncontrolled Diabetes,5,68025,7.4,7,,,,,,
5877,2009,Mendocino,14,Uncontrolled Diabetes,4,68421,5.8,5.5,,,,,,
5878,2010,Mendocino,14,Uncontrolled Diabetes,1,68517,1.5,1.4,,,,,,
5879,2011,Mendocino,14,Uncontrolled Diabetes,0,68336,0,0,,,,,,
5880,2012,Mendocino,14,Uncontrolled Diabetes,7,68344,10.2,9.6,,,,,,
5881,2013,Mendocino,14,Uncontrolled Diabetes,3,68379,4.4,4.1,,,,,,
5882,2014,Mendocino,14,Uncontrolled Diabetes,3,69334,4.3,4,,,,,,
5883,2015,Mendocino,14,Uncontrolled Diabetes,3,51516,5.8,5.4,,,,,,
5884,2016,Mendocino,14,Uncontrolled Diabetes,,,,,21,"68,410",30.7,24.1,,
5885,2017,Mendocino,14,Uncontrolled Diabetes,,,,,20,"68,784",29.1,22.6,,
5886,2018,Mendocino,14,Uncontrolled Diabetes,,,,,25,"68,876",36.3,27.9,,
5887,2019,Mendocino,14,Uncontrolled Diabetes,,,,,22,"68,548",32.1,24.3,,
5888,2020,Mendocino,14,Uncontrolled Diabetes,,,,,26,"71,809",36.2,27.4,,
5889,2021,Mendocino,14,Uncontrolled Diabetes,,,,,13,"72,054",18,13.5,,
5890,2005,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,17.4,17.6,,,,,,
5891,2006,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,8.8,8.8,,,,,,
5892,2007,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,8.8,8.8,,,,,,
5893,2008,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,4.4,4.4,,,,,,
5894,2009,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,13,13.1,,,,,,
5895,2010,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,17.5,17.6,,,,,,
5896,2011,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,31,31.3,,,,,,
5897,2012,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,13.4,13.5,,,,,,
5898,2013,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,9,9,,,,,,
5899,2014,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,30.9,31.3,,,,,,
5900,2015,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,30.1,30,,,,,,
5901,2016,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,,,,,13.8,12.8,1,Cell suppressed for small numbers
5902,2017,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,,,,,32.2,29.6,1,Cell suppressed for small numbers
5903,2018,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,,,,,41.6,38.3,1,Cell suppressed for small numbers
5904,2019,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,,,,,23.5,21.6,1,Cell suppressed for small numbers
5905,2020,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,,,,,13.6,12.5,1,Cell suppressed for small numbers
5906,2021,Mendocino,15,Asthma in Younger Adults (Age 18-39),,,,,,,4.5,4.2,1,Cell suppressed for small numbers
5907,2005,Mendocino,16,Lower-Extremity Amputation (Diabetes),10,67693,14.8,13.9,,,,,,
5908,2006,Mendocino,16,Lower-Extremity Amputation (Diabetes),8,67469,11.9,11,,,,,,
5909,2007,Mendocino,16,Lower-Extremity Amputation (Diabetes),5,67582,7.4,6.8,,,,,,
5910,2008,Mendocino,16,Lower-Extremity Amputation (Diabetes),10,68025,14.7,13.3,,,,,,
5911,2009,Mendocino,16,Lower-Extremity Amputation (Diabetes),7,68421,10.2,9.2,,,,,,
5912,2010,Mendocino,16,Lower-Extremity Amputation (Diabetes),7,68517,10.2,9.1,,,,,,
5913,2011,Mendocino,16,Lower-Extremity Amputation (Diabetes),6,68336,8.8,7.7,,,,,,
5914,2012,Mendocino,16,Lower-Extremity Amputation (Diabetes),9,68344,13.2,11.3,,,,,,
5915,2013,Mendocino,16,Lower-Extremity Amputation (Diabetes),10,68379,14.6,12.3,,,,,,
5916,2014,Mendocino,16,Lower-Extremity Amputation (Diabetes),12,69334,17.3,14.6,,,,,,
5917,2015,Mendocino,16,Lower-Extremity Amputation (Diabetes),11,51516,21.4,17.5,,,,,,
5918,2016,Mendocino,16,Lower-Extremity Amputation (Diabetes),,,,,23,"68,410",33.6,27.6,,
5919,2017,Mendocino,16,Lower-Extremity Amputation (Diabetes),,,,,16,"68,784",23.3,19,,
5920,2018,Mendocino,16,Lower-Extremity Amputation (Diabetes),,,,,14,"68,876",20.3,16.5,,
5921,2019,Mendocino,16,Lower-Extremity Amputation (Diabetes),,,,,25,"68,548",36.5,29.4,,
5922,2020,Mendocino,16,Lower-Extremity Amputation (Diabetes),,,,,19,"71,809",26.5,21.2,,
5923,2021,Mendocino,16,Lower-Extremity Amputation (Diabetes),,,,,17,"72,054",23.6,18.9,,
5924,2005,Mendocino,90,Prevention Quality Overall Composite,795,67693,1174.4,1127.5,,,,,,
5925,2006,Mendocino,90,Prevention Quality Overall Composite,838,67469,1242.1,1181.7,,,,,,
5926,2007,Mendocino,90,Prevention Quality Overall Composite,804,67583,1189.6,1116,,,,,,
5927,2008,Mendocino,90,Prevention Quality Overall Composite,749,68025,1101.1,1021.2,,,,,,
5928,2009,Mendocino,90,Prevention Quality Overall Composite,837,68421,1223.3,1126.3,,,,,,
5929,2010,Mendocino,90,Prevention Quality Overall Composite,853,68517,1244.9,1142.8,,,,,,
5930,2011,Mendocino,90,Prevention Quality Overall Composite,902,68336,1319.9,1189.6,,,,,,
5931,2012,Mendocino,90,Prevention Quality Overall Composite,831,68344,1215.9,1075.3,,,,,,
5932,2013,Mendocino,90,Prevention Quality Overall Composite,798,68379,1167,1017.4,,,,,,
5933,2014,Mendocino,90,Prevention Quality Overall Composite,793,69334,1143.7,1004,,,,,,
5934,2015,Mendocino,90,Prevention Quality Overall Composite,509,51516,988,837.2,,,,,,
5935,2016,Mendocino,90,Overall Composite,,,,,632,"68,410",923.8,791.4,,
5936,2017,Mendocino,90,Overall Composite,,,,,663,"68,784",963.9,815.7,,
5937,2018,Mendocino,90,Overall Composite,,,,,742,"68,876",1077.3,898.5,,
5938,2019,Mendocino,90,Overall Composite,,,,,719,"68,548",1048.9,859.4,,
5939,2020,Mendocino,90,Overall Composite,,,,,636,"71,809",885.7,728.5,,
5940,2021,Mendocino,90,Overall Composite,,,,,524,"72,054",727.2,592.7,,
5941,2005,Mendocino,91,Prevention Quality Acute Composite,367,67693,542.2,522.2,,,,,,
5942,2006,Mendocino,91,Prevention Quality Acute Composite,422,67469,625.5,596.9,,,,,,
5943,2007,Mendocino,91,Prevention Quality Acute Composite,390,67583,577.1,542.3,,,,,,
5944,2008,Mendocino,91,Prevention Quality Acute Composite,335,68025,492.5,457.1,,,,,,
5945,2009,Mendocino,91,Prevention Quality Acute Composite,391,68421,571.5,526.6,,,,,,
5946,2010,Mendocino,91,Prevention Quality Acute Composite,363,68517,529.8,487.5,,,,,,
5947,2011,Mendocino,91,Prevention Quality Acute Composite,422,68336,617.5,556.7,,,,,,
5948,2012,Mendocino,91,Prevention Quality Acute Composite,364,68344,532.6,470.7,,,,,,
5949,2013,Mendocino,91,Prevention Quality Acute Composite,334,68379,488.5,425.3,,,,,,
5950,2014,Mendocino,91,Prevention Quality Acute Composite,344,69334,496.1,435.6,,,,,,
5951,2015,Mendocino,91,Prevention Quality Acute Composite,200,51516,388.2,328.2,,,,,,
5952,2016,Mendocino,91,Acute Composite,,,,,207,"68,410",302.6,276.9,,
5953,2017,Mendocino,91,Acute Composite,,,,,181,"68,784",263.1,237.2,,
5954,2018,Mendocino,91,Acute Composite,,,,,186,"68,876",270.1,239,,
5955,2019,Mendocino,91,Acute Composite,,,,,202,"68,548",294.7,255.2,,
5956,2020,Mendocino,91,Acute Composite,,,,,189,"71,809",263.2,230.2,,
5957,2021,Mendocino,91,Acute Composite,,,,,157,"72,054",217.9,188.2,,
5958,2005,Mendocino,92,Prevention Quality Chronic Composite,428,67693,632.3,605.8,,,,,,
5959,2006,Mendocino,92,Prevention Quality Chronic Composite,416,67469,616.6,585.5,,,,,,
5960,2007,Mendocino,92,Prevention Quality Chronic Composite,414,67582,612.6,574,,,,,,
5961,2008,Mendocino,92,Prevention Quality Chronic Composite,414,68025,608.6,564.2,,,,,,
5962,2009,Mendocino,92,Prevention Quality Chronic Composite,446,68421,651.8,599.8,,,,,,
5963,2010,Mendocino,92,Prevention Quality Chronic Composite,490,68517,715.2,655.5,,,,,,
5964,2011,Mendocino,92,Prevention Quality Chronic Composite,480,68336,702.4,633,,,,,,
5965,2012,Mendocino,92,Prevention Quality Chronic Composite,467,68344,683.3,604.5,,,,,,
5966,2013,Mendocino,92,Prevention Quality Chronic Composite,464,68379,678.6,592,,,,,,
5967,2014,Mendocino,92,Prevention Quality Chronic Composite,449,69334,647.6,568.4,,,,,,
5968,2015,Mendocino,92,Prevention Quality Chronic Composite,309,51516,599.8,509,,,,,,
5969,2016,Mendocino,92,Chronic Composite,,,,,425,"68,410",621.3,521.9,,
5970,2017,Mendocino,92,Chronic Composite,,,,,482,"68,784",700.7,582,,
5971,2018,Mendocino,92,Chronic Composite,,,,,556,"68,876",807.2,661.6,,
5972,2019,Mendocino,92,Chronic Composite,,,,,517,"68,548",754.2,608.1,,
5973,2020,Mendocino,92,Chronic Composite,,,,,447,"71,809",622.5,502.8,,
5974,2021,Mendocino,92,Chronic Composite,,,,,367,"72,054",509.3,408.1,,
5975,2016,Mendocino,93,Diabetes Composite,,,,,116,"68,410",169.6,145.5,,
5976,2017,Mendocino,93,Diabetes Composite,,,,,138,"68,784",200.6,171.7,,
5977,2018,Mendocino,93,Diabetes Composite,,,,,146,"68,876",212,180.6,,
5978,2019,Mendocino,93,Diabetes Composite,,,,,152,"68,548",221.7,187.9,,
5979,2020,Mendocino,93,Diabetes Composite,,,,,155,"71,809",215.9,182.2,,
5980,2021,Mendocino,93,Diabetes Composite,,,,,123,"72,054",170.7,143.9,,
5981,2005,Merced,1,Diabetes Short-term Complications,106,162795,65.1,61.2,,,,,,
5982,2006,Merced,1,Diabetes Short-term Complications,86,165009,52.1,49,,,,,,
5983,2007,Merced,1,Diabetes Short-term Complications,107,167724,63.8,60,,,,,,
5984,2008,Merced,1,Diabetes Short-term Complications,99,169736,58.3,55,,,,,,
5985,2009,Merced,1,Diabetes Short-term Complications,92,171809,53.5,50.6,,,,,,
5986,2010,Merced,1,Diabetes Short-term Complications,110,175232,62.8,59.4,,,,,,
5987,2011,Merced,1,Diabetes Short-term Complications,134,178783,75,71,,,,,,
5988,2012,Merced,1,Diabetes Short-term Complications,118,174274,67.7,65.5,,,,,,
5989,2013,Merced,1,Diabetes Short-term Complications,126,176084,71.6,69.5,,,,,,
5990,2014,Merced,1,Diabetes Short-term Complications,153,184892,82.8,79.2,,,,,,
5991,2015,Merced,1,Diabetes Short-term Complications,132,133727,98.7,97.2,,,,,,
5992,2016,Merced,1,Diabetes Short-term Complications,,,,,114,"187,379",60.8,47.9,,
5993,2017,Merced,1,Diabetes Short-term Complications,,,,,126,"190,075",66.3,52.3,,
5994,2018,Merced,1,Diabetes Short-term Complications,,,,,249,"193,011",129,101.8,,
5995,2019,Merced,1,Diabetes Short-term Complications,,,,,245,"196,051",125,98.7,,
5996,2020,Merced,1,Diabetes Short-term Complications,,,,,213,"199,026",107,84.5,,
5997,2021,Merced,1,Diabetes Short-term Complications,,,,,291,"203,340",143.1,113.1,,
5998,2005,Merced,2,Perforated Appendix,65,214,30.4,34,,,,,,
5999,2006,Merced,2,Perforated Appendix,57,211,27,31.9,,,,,,
6000,2007,Merced,2,Perforated Appendix,46,228,20.2,23.7,,,,,,
6001,2008,Merced,2,Perforated Appendix,49,210,23.3,25.3,,,,,,
6002,2009,Merced,2,Perforated Appendix,74,247,30,34.5,,,,,,
6003,2010,Merced,2,Perforated Appendix,65,248,26.2,29,,,,,,
6004,2011,Merced,2,Perforated Appendix,58,206,28.2,31.6,,,,,,
6005,2012,Merced,2,Perforated Appendix,56,145,38.6,43.2,,,,,,
6006,2013,Merced,2,Perforated Appendix,43,124,34.7,36.6,,,,,,
6007,2014,Merced,2,Perforated Appendix,41,117,35,33.9,,,,,,
6008,2015,Merced,2,Perforated Appendix,27,106,25.5,25.5,,,,,,
6009,2005,Merced,3,Diabetes Long-term Complications,179,162795,110,130,,,,,,
6010,2006,Merced,3,Diabetes Long-term Complications,204,165009,123.6,146.1,,,,,,
6011,2007,Merced,3,Diabetes Long-term Complications,246,167724,146.7,172.2,,,,,,
6012,2008,Merced,3,Diabetes Long-term Complications,219,169736,129,150.3,,,,,,
6013,2009,Merced,3,Diabetes Long-term Complications,202,171809,117.6,135.8,,,,,,
6014,2010,Merced,3,Diabetes Long-term Complications,264,175232,150.7,173,,,,,,
6015,2011,Merced,3,Diabetes Long-term Complications,253,178783,141.5,161.6,,,,,,
6016,2012,Merced,3,Diabetes Long-term Complications,221,174274,126.8,138.9,,,,,,
6017,2013,Merced,3,Diabetes Long-term Complications,238,176084,135.2,147,,,,,,
6018,2014,Merced,3,Diabetes Long-term Complications,200,184892,108.2,120.7,,,,,,
6019,2015,Merced,3,Diabetes Long-term Complications,174,133727,130.1,137.6,,,,,,
6020,2016,Merced,3,Diabetes Long-term Complications,,,,,210,"187,379",112.1,106.2,,
6021,2017,Merced,3,Diabetes Long-term Complications,,,,,272,"190,075",143.1,135.3,,
6022,2018,Merced,3,Diabetes Long-term Complications,,,,,291,"193,011",150.8,142.4,,
6023,2019,Merced,3,Diabetes Long-term Complications,,,,,266,"196,051",135.7,127.7,,
6024,2020,Merced,3,Diabetes Long-term Complications,,,,,268,"199,026",134.7,125.7,,
6025,2021,Merced,3,Diabetes Long-term Complications,,,,,315,"203,340",154.9,144.7,,
6026,2005,Merced,5,COPD or Asthma in Older Adults (Age 40+),324,85397,379.4,419.8,,,,,,
6027,2006,Merced,5,COPD or Asthma in Older Adults (Age 40+),326,86590,376.5,416.9,,,,,,
6028,2007,Merced,5,COPD or Asthma in Older Adults (Age 40+),279,88327,315.9,347.8,,,,,,
6029,2008,Merced,5,COPD or Asthma in Older Adults (Age 40+),418,90041,464.2,507.8,,,,,,
6030,2009,Merced,5,COPD or Asthma in Older Adults (Age 40+),449,91761,489.3,530.6,,,,,,
6031,2010,Merced,5,COPD or Asthma in Older Adults (Age 40+),512,93814,545.8,586.8,,,,,,
6032,2011,Merced,5,COPD or Asthma in Older Adults (Age 40+),459,95962,478.3,510.1,,,,,,
6033,2012,Merced,5,COPD or Asthma in Older Adults (Age 40+),380,97684,389,411.7,,,,,,
6034,2013,Merced,5,COPD or Asthma in Older Adults (Age 40+),369,99038,372.6,391.1,,,,,,
6035,2014,Merced,5,COPD or Asthma in Older Adults (Age 40+),358,101823,351.6,374.8,,,,,,
6036,2015,Merced,5,COPD or Asthma in Older Adults (Age 40+),301,77073,390.5,404.3,,,,,,
6037,2016,Merced,5,COPD or Asthma in Older Adults (Age 40+),,,,,479,"101,760",470.7,406.4,,
6038,2017,Merced,5,COPD or Asthma in Older Adults (Age 40+),,,,,684,"102,986",664.2,569.9,,
6039,2018,Merced,5,COPD or Asthma in Older Adults (Age 40+),,,,,503,"104,265",482.4,411.5,,
6040,2019,Merced,5,COPD or Asthma in Older Adults (Age 40+),,,,,473,"106,005",446.2,378.4,,
6041,2020,Merced,5,COPD or Asthma in Older Adults (Age 40+),,,,,261,"108,281",241,206.2,,
6042,2021,Merced,5,COPD or Asthma in Older Adults (Age 40+),,,,,184,"110,491",166.5,142.3,,
